angle,azimuth,value
-6.000000000000000000e+01,1.800000000000000000e+02,4.177406140905097209e-01
-5.000000000000000000e+01,1.800000000000000000e+02,4.735165067736401001e-01
-4.000000000000000000e+01,1.800000000000000000e+02,5.422095827095133602e-01
-3.000000000000000000e+01,1.800000000000000000e+02,5.986739952626076722e-01
-2.000000000000000000e+01,1.800000000000000000e+02,6.370082818454561036e-01
-1.000000000000000000e+01,1.800000000000000000e+02,6.603158570405973649e-01
0.000000000000000000e+00,1.800000000000000000e+02,6.693114900399652623e-01
1.000000000000000000e+01,1.800000000000000000e+02,6.589983858048019671e-01
2.000000000000000000e+01,1.800000000000000000e+02,6.314546977369313030e-01
3.000000000000000000e+01,1.800000000000000000e+02,5.953615712730438991e-01
4.000000000000000000e+01,1.800000000000000000e+02,5.402629056570419364e-01
5.000000000000000000e+01,1.800000000000000000e+02,4.809036894369397297e-01
6.000000000000000000e+01,1.800000000000000000e+02,4.198004380903602173e-01
