angle,azimuth,value
-6.000000000000000000e+01,1.800000000000000000e+02,3.225600000000000134e-01
-5.000000000000000000e+01,1.800000000000000000e+02,4.095100000000000406e-01
-4.000000000000000000e+01,1.800000000000000000e+02,4.775300000000000100e-01
-3.000000000000000000e+01,1.800000000000000000e+02,5.271400000000000530e-01
-2.000000000000000000e+01,1.800000000000000000e+02,5.593900000000000539e-01
-1.000000000000000000e+01,1.800000000000000000e+02,5.785099999999999687e-01
0.000000000000000000e+00,1.800000000000000000e+02,5.847599999999999465e-01
1.000000000000000000e+01,1.800000000000000000e+02,5.791100000000000136e-01
2.000000000000000000e+01,1.800000000000000000e+02,5.607299999999999507e-01
3.000000000000000000e+01,1.800000000000000000e+02,5.272599999999998399e-01
4.000000000000000000e+01,1.800000000000000000e+02,4.786099999999999799e-01
5.000000000000000000e+01,1.800000000000000000e+02,4.100699999999999901e-01
6.000000000000000000e+01,1.800000000000000000e+02,3.239900000000000002e-01
