angle,azimuth,value
-6.000000000000000000e+01,1.800000000000000000e+02,6.064000000000006191e-02
-5.000000000000000000e+01,1.800000000000000000e+02,6.711999999999995747e-02
-4.000000000000000000e+01,1.800000000000000000e+02,6.389000000000001622e-02
-3.000000000000000000e+01,1.800000000000000000e+02,6.032000000000004025e-02
-2.000000000000000000e+01,1.800000000000000000e+02,5.810000000000002662e-02
-1.000000000000000000e+01,1.800000000000000000e+02,5.666999999999996346e-02
0.000000000000000000e+00,1.800000000000000000e+02,5.595999999999989871e-02
1.000000000000000000e+01,1.800000000000000000e+02,5.690999999999999531e-02
2.000000000000000000e+01,1.800000000000000000e+02,5.916999999999994486e-02
3.000000000000000000e+01,1.800000000000000000e+02,6.100999999999996704e-02
4.000000000000000000e+01,1.800000000000000000e+02,6.434999999999996279e-02
5.000000000000000000e+01,1.800000000000000000e+02,6.510999999999997345e-02
6.000000000000000000e+01,1.800000000000000000e+02,6.003000000000003472e-02
