angle,azimuth,value
-6.000000000000000000e+01,1.800000000000000000e+02,4.892177057403971352e-01
-5.000000000000000000e+01,1.800000000000000000e+02,4.603575703385719975e-01
-4.000000000000000000e+01,1.800000000000000000e+02,4.256398430313180214e-01
-3.000000000000000000e+01,1.800000000000000000e+02,3.957320135746008605e-01
-2.000000000000000000e+01,1.800000000000000000e+02,3.751775204238810835e-01
-1.000000000000000000e+01,1.800000000000000000e+02,3.620936008578606313e-01
0.000000000000000000e+00,1.800000000000000000e+02,3.576911807191442416e-01
1.000000000000000000e+01,1.800000000000000000e+02,3.614077793442310726e-01
2.000000000000000000e+01,1.800000000000000000e+02,3.736322673337945099e-01
3.000000000000000000e+01,1.800000000000000000e+02,3.955913340425504243e-01
4.000000000000000000e+01,1.800000000000000000e+02,4.243389101353131632e-01
5.000000000000000000e+01,1.800000000000000000e+02,4.596529246708656036e-01
6.000000000000000000e+01,1.800000000000000000e+02,4.873051009459024585e-01
